Bank,Transaction Date,Posting Date,Description,Amount
RBC,2025-06-26,2025-06-30,RCSS #1024 OAKVILLE ON,12.78
TD,2025-06-28,2025-06-30,EXPEDIA 73155234721815 877-222-6492,204.84
RBC,2025-06-28,2025-06-30,YUAN MING SUPERMARKET MISSISSAUGA ON,41.12
RBC,2025-06-28,2025-06-30,T&T SUPERMARKET #015 MISSISSAUGA ON,20.52
RBC,2025-06-28,2025-06-30,VEG DELIGHT RESTAURANT MARKHAM ON,85.88
TD,2025-06-29,2025-06-30,TD Points Redemption,-204.84
RBC,2025-06-30,2025-07-02,RCSS #1024 OAKVILLE ON,11.98
TD,2025-07-01,2025-07-02,PAYMENT - THANK YOU,-1000
TD,2025-07-02,2025-07-03,CROWN CREST CAPITAL TORONTO,61.81
TD,2025-07-02,2025-07-03,PAYMENT - THANK YOU,-387.81
RBC,2025-07-05,2025-07-07,YUAN MING SUPERMARKET MISSISSAUGA ON,55.78
RBC,2025-07-05,2025-07-07,T&T SUPERMARKET #015 MISSISSAUGA ON,47.19
RBC,2025-07-07,2025-07-07,ANNUAL FEE,4
TD,2025-07-11,2025-07-11,ANNUAL FEE REBATE,-69.5
TD,2025-07-11,2025-07-11,ANNUAL FEE,139
RBC,2025-07-12,2025-07-14,YUAN MING SUPERMARKET MISSISSAUGA ON,57.46
RBC,2025-07-12,2025-07-14,T&T SUPERMARKET #015 MISSISSAUGA ON,22.09
RBC,2025-07-14,2025-07-16,PRESTO FARE/PJZK67XHJH TORONTO ON,16.32
RBC,2025-07-17,2025-07-18,T&T SUPERMARKET #028 WATERLOO ON,9.26
RBC,2025-07-17,2025-07-18,RCSS #1024 OAKVILLE ON,13.24
RBC,2025-07-17,2025-07-18,UW PARKING WATERLOO ON,3.1
RBC,2025-07-19,2025-07-21,YUAN MING SUPERMARKET MISSISSAUGA ON,24.42
RBC,2025-07-19,2025-07-21,T&T SUPERMARKET #015 MISSISSAUGA ON,12.34
RBC,2025-07-21,2025-07-23,TD CANADA TRUST TORONTO,-635.37
TD,2025-07-24,2025-07-25,RONG RONG PAN DENTISTRY,172
RBC,2025-07-26,2025-07-28,BENEFITS OF BEAUTY BRAMPTON ON,75.62
RBC,2025-07-26,2025-07-28,YUAN MING SUPERMARKET MISSISSAUGA ON,33.04
RBC,2025-07-26,2025-07-28,T&T SUPERMARKET #015 MISSISSAUGA ON,43.77
TD,2025-07-27,2025-07-28,TAOBAO.COM LONDON,136.78
RBC,2025-07-28,2025-07-30,PRESTO FARE/PMNDK72XMQ TORONTO ON,16.32
TD,2025-07-29,2025-07-30,PAYMENT - THANK YOU,-131.31
TD,2025-07-31,2025-08-01,ALP*shanghaihechenggu shanghaishi,115.2
TD,2025-07-31,2025-08-05,ALP*shanghaihechengguo Shanghai,91.59
TD,2025-08-01,2025-08-05,CROWN CREST CAPITAL TORONTO,61.81
TD,2025-08-01,2025-08-05,ALP*shanghaihechenggu shanghaishi,98.66
TD,2025-08-01,2025-08-05,ALP*shanghaihechenggu shanghaishi,-108.81
TD,2025-08-01,2025-08-05,ALP*shanghaihechengguo Shanghai,57.56
RBC,2025-08-07,2025-08-07,ANNUAL FEE,4
TD,2025-08-13,2025-08-14,TAOBAO 125 LONDON W,634.35
TD,2025-08-13,2025-08-14,ALP*shanghaixiechengg shanghaishi,-45.15
TD,2025-08-13,2025-08-14,ALP*shanghaixiechengg shanghaishi,47.69
TD,2025-08-13,2025-08-15,ALP*shanghaixiechenggu Shanghai,47.69
TD,2025-08-14,2025-08-18,ALP*shanghaixiechenggu Shanghai,-45.15
TD,2025-08-15,2025-08-18,ALP*shanghaixiechengg shanghaishi,48.83
TD,2025-08-19,2025-08-21,ALP*Programming Shanghai,0.99
TD,2025-08-21,2025-08-22,TAOBAO 125 LONDON W,-634.35
TD,2025-08-23,2025-08-25,ALP*AirportsServices Shanghai,60.07
RBC,2025-08-27,2025-08-28,T&T SUPERMARKET #015 MISSISSAUGA ON,42.66
RBC,2025-08-27,2025-08-28,RCSS #1024 OAKVILLE ON,3.5
RBC,2025-08-27,2025-08-29,TD CANADA TRUST TORONTO,-330.98
RBC,2025-08-30,2025-09-02,T&T SUPERMARKET #015 MISSISSAUGA ON,77.47
TD,2025-08-31,2025-09-02,PAYMENT - THANK YOU,-625
RBC,2025-08-31,2025-09-02,T&T SUPERMARKET #028 WATERLOO ON,5.64
RBC,2025-08-31,2025-09-02,T&T SUPERMARKET #028 WATERLOO ON,99.96
TD,2025-09-02,2025-09-03,CROWN CREST CAPITAL TORONTO,61.81
RBC,2025-09-04,2025-09-05,RCSS #1024 OAKVILLE ON,72.99
RBC,2025-09-06,2025-09-08,T&T SUPERMARKET #015 MISSISSAUGA ON,64.07
RBC,2025-09-06,2025-09-08,FORTINOS (NEYAGAWA 201 OAKVILLE ON,29.67
RBC,2025-09-07,2025-09-08,T&T SUPERMARKET #028 WATERLOO ON,66.28
RBC,2025-09-07,2025-09-08,T&T SUPERMARKET #028 WATERLOO ON,30.15
RBC,2025-09-08,2025-09-08,ANNUAL FEE,4
RBC,2025-09-13,2025-09-15,YUAN MING SUPERMARKET MISSISSAUGA ON,37.21
RBC,2025-09-20,2025-09-22,YUAN MING SUPERMARKET MISSISSAUGA ON,90.16
RBC,2025-09-20,2025-09-22,T&T SUPERMARKET #015 MISSISSAUGA ON,205.02
RBC,2025-09-23,2025-09-24,PAYMENT - THANK YOU / PAIEMENT - MERCI,-800
RBC,2025-09-27,2025-09-29,T&T SUPERMARKET #015 MISSISSAUGA ON,56.33
TD,2025-10-01,2025-10-02,CROWN CREST CAPITAL TORONTO,61.81
TD,2025-10-01,2025-10-02,PAYMENT - THANK YOU,-176.57
RBC,2025-10-04,2025-10-06,T&T SUPERMARKET #015 MISSISSAUGA ON,102.95
RBC,2025-10-07,2025-10-07,ANNUAL FEE,4
RBC,2025-10-08,2025-10-09,CORP CANADA/18269624 OTTAWA ON,12
RBC,2025-10-11,2025-10-14,T&T SUPERMARKET #015 MISSISSAUGA ON,38.25
RBC,2025-10-12,2025-10-14,RCSS #1024 OAKVILLE ON,66.65
RBC,2025-10-15,2025-10-16,RCSS #1024 OAKVILLE ON,99.42
RBC,2025-10-18,2025-10-20,YUAN MING SUPERMARKET MISSISSAUGA ON,44.04
RBC,2025-10-18,2025-10-20,YUAN MING SUPERMARKET MISSISSAUGA ON,146.89
RBC,2025-10-18,2025-10-20,T&T SUPERMARKET #015 MISSISSAUGA ON,67.2
RBC,2025-10-25,2025-10-27,YUAN MING SUPERMARKET MISSISSAUGA ON,14.2
RBC,2025-10-25,2025-10-27,T&T SUPERMARKET #015 MISSISSAUGA ON,51.15
RBC,2025-10-28,2025-10-29,PAYMENT - THANK YOU / PAIEMENT - MERCI,-700
RBC,2025-11-01,2025-11-03,T&T SUPERMARKET #015 MISSISSAUGA ON,45.15
RBC,2025-11-06,2025-11-07,RCSS #1024 OAKVILLE ON,20.26
RBC,2025-11-08,2025-11-10,TERRA FOODMART MISSISSAUGA ON,38.09
RBC,2025-11-08,2025-11-10,T&T SUPERMARKET #015 MISSISSAUGA ON,123.04
RBC,2025-11-08,2025-11-10,T&T SUPERMARKET #015 MISSISSAUGA ON,10.59
RBC,2025-11-08,2025-11-10,T&T SUPERMARKET #015 MISSISSAUGA ON,9.87
RBC,2025-11-09,2025-11-10,T&T SUPERMARKET #028 WATERLOO ON,21.65
RBC,2025-11-13,2025-11-14,RCSS #1024 OAKVILLE ON,6.15
RBC,2025-11-13,2025-11-14,RCSS #1024 OAKVILLE ON,9
RBC,2025-11-15,2025-11-17,T&T SUPERMARKET #015 MISSISSAUGA ON,87.7
RBC,2025-11-18,2025-11-20,TD CANADA TRUST TORONTO,-97.27
RBC,2025-11-20,2025-11-21,RCSS #1024 OAKVILLE ON,6
RBC,2025-11-22,2025-11-24,T&T SUPERMARKET #028 WATERLOO ON,66.3
RBC,2025-12-01,2025-12-01,ANNUAL FEE,48
RBC,2025-12-04,2025-12-05,T&T SUPERMARKET #015 MISSISSAUGA ON,89.99
RBC,2025-12-04,2025-12-05,T&T SUPERMARKET #015 MISSISSAUGA ON,25.96
RBC,2025-12-06,2025-12-08,T&T SUPERMARKET #028 WATERLOO ON,38.96
RBC,2025-12-06,2025-12-08,T&T SUPERMARKET #028 WATERLOO ON,9.57
